AttendanceID,CourseID,StudentID,AttendanceDate,Status,Comment,User,LastEdit
3621,34,221,12/12/13,Unexcused,,12,12/12/13
3622,35,221,12/12/13,Unexcused,,12,12/12/13
3623,35,245,12/12/13,Excused,ឈឺ,12,12/12/13
3624,29,237,12/12/13,Unexcused,,9,12/12/13
3625,29,182,12/12/13,Unexcused,,9,12/12/13
3626,37,203,12/12/13,Excused,ទៅដកធ្មេញ,7,11/25/13
3627,37,126,12/13/13,Unexcused,,7,11/25/13
3628,28,220,12/13/13,Unexcused,,9,12/13/13
3629,28,195,12/13/13,Unexcused,,9,12/13/13
3630,32,146,12/13/13,Unexcused,,11,12/13/13
3631,34,221,12/13/13,Unexcused,,12,12/13/13
3632,34,245,12/13/13,Excused,ឈឺ,12,12/13/13
3633,34,247,12/13/13,Excused,ឈឺ,12,12/13/13
3634,29,233,12/13/13,Unexcused,,9,12/13/13
3635,29,232,12/13/13,Unexcused,,9,12/13/13
3636,29,220,12/13/13,Unexcused,,9,12/13/13
3637,29,239,12/13/13,Unexcused,,9,12/13/13
3638,41,28,12/13/13,Unexcused,,10,12/13/13
3639,41,103,12/13/13,Excused,ឈឺ,10,12/13/13
3640,35,221,12/13/13,Unexcused,,12,12/13/13
3641,35,245,12/13/13,Excused,ឈឺ,12,12/13/13
3642,35,247,12/13/13,Excused,ឈឺ,12,12/13/13
3643,39,71,12/11/13,Unexcused,,8,12/13/13
3644,40,71,12/11/13,Unexcused,,8,12/13/13
3645,28,222,12/16/13,Unexcused,,9,12/16/13
3646,37,122,12/16/13,Unexcused,ទៅលេងភ្លេង,7,11/28/13
3647,37,129,12/16/13,Unexcused,ទៅលេងភ្លេង,7,11/28/13
3648,41,99,12/16/13,Unexcused,,10,12/16/13
3649,33,243,12/16/13,Unexcused,,11,12/16/13
3650,28,233,12/17/13,Unexcused,,9,12/17/13
3651,28,232,12/17/13,Unexcused,,9,12/17/13
3652,28,182,12/17/13,Unexcused,,9,12/17/13
3653,28,223,12/17/13,Excused,,9,12/17/13
3654,33,146,12/17/13,Unexcused,,11,12/17/13
3655,33,171,12/17/13,Unexcused,,11,12/17/13
3656,28,220,12/18/13,Unexcused,,9,12/18/13
3657,28,182,12/18/13,Unexcused,,9,12/18/13
3658,34,183,12/18/13,Unexcused,,12,12/18/13
3659,35,183,12/18/13,Unexcused,,12,12/18/13
3660,37,219,12/19/13,Unexcused,,7,12/1/13
3661,28,220,12/19/13,Unexcused,,9,12/19/13
3662,28,177,12/19/13,Unexcused,,9,12/19/13
3663,32,244,12/19/13,Excused,ឈឺ,11,12/19/13
3664,33,244,12/19/13,Excused,ឈឺ,11,12/19/13
3665,33,196,12/19/13,Excused,ឈឺ,11,12/19/13
3666,28,182,12/20/13,Unexcused,,9,12/20/13
3667,41,26,12/19/13,Excused,ឈឺ,10,12/19/13
3668,41,32,12/19/13,Excused,ឈឺ,10,12/19/13
3669,42,99,12/20/13,Unexcused,,10,12/20/13
3670,34,183,12/22/13,Unexcused,,12,12/22/13
3671,34,161,12/22/13,Excused,ឈឺ,12,12/22/13
3672,41,99,12/22/13,Excused,ឈឺ,10,12/22/13
3673,41,47,12/22/13,Unexcused,,10,12/22/13
3674,28,182,12/23/13,Unexcused,,9,12/23/13
3675,28,237,12/23/13,Unexcused,,9,12/23/13
3676,37,62,12/23/13,Excused,ទៅបុណ្យនៅឯស្រុក,7,12/5/13
3677,37,117,12/23/13,Excused,ទៅភ្នំពេញ,7,12/5/13
3678,37,122,12/23/13,Unexcused,,7,12/5/13
3680,32,119,12/23/13,Excused,ឈឺ,11,12/23/13
3681,32,243,12/23/13,Unexcused,,11,12/23/13
3682,29,237,12/23/13,Unexcused,,9,12/23/13
3683,33,243,12/23/13,Unexcused,,11,12/23/13
3684,35,161,12/23/13,Excused,ឈឺ,12,12/23/13
3685,32,244,12/24/13,Unexcused,,11,12/24/13
3686,28,238,12/24/13,Excused,ឈឺ,9,12/24/13
3687,28,182,12/24/13,Unexcused,,9,12/24/13
3688,28,177,12/24/13,Unexcused,,9,12/24/13
3689,34,161,12/23/13,Unexcused,,12,12/23/13
3690,34,162,12/23/13,Excused,ឈឺ,12,12/23/13
3691,33,218,12/24/13,Excused,ឈឺ,11,12/24/13
3692,28,237,12/26/13,Unexcused,,9,12/26/13
3693,28,177,12/26/13,Unexcused,,9,12/26/13
3770,37,50,1/10/14,Unexcused,,7,12/23/13
5,5,25,6/8/11,Excused,,,9/16/11
6,5,27,6/8/11,Excused,,,9/16/11
7,5,40,6/8/11,Excused,,,9/16/11
8,5,46,6/8/11,Excused,,,9/16/11
9,5,26,6/9/11,Excused,,,9/16/11
10,5,42,6/15/11,Excused,,,9/16/11
11,5,48,6/17/11,Excused,,,9/16/11
12,5,33,6/24/11,Excused,,,9/16/11
14,5,34,6/16/11,Excused,,,9/16/11
15,5,48,5/11/11,Excused,,,9/16/11
16,5,34,5/16/11,Excused,,,9/16/11
17,5,34,5/17/11,Excused,,,9/16/11
18,5,34,5/18/11,Excused,,,9/16/11
19,5,34,5/19/11,Excused,,,9/16/11
20,5,34,5/20/11,Excused,,,9/16/11
21,5,28,5/31/11,Excused,,,9/16/11
22,5,36,4/1/11,Unexcused,,,9/16/11
23,5,27,4/4/11,Unexcused,,,9/16/11
24,5,30,4/4/11,Excused,,,9/16/11
25,5,33,4/4/11,Unexcused,,,9/16/11
26,5,36,4/4/11,Unexcused,,,9/16/11
27,5,40,4/4/11,Unexcused,,,9/16/11
28,5,42,4/4/11,Unexcused,,,9/16/11
29,5,44,4/4/11,Excused,,,9/16/11
30,5,48,4/4/11,Unexcused,,,9/16/11
31,5,47,4/4/11,Excused,,,9/16/11
32,5,44,4/20/11,Excused,,,9/16/11
33,5,26,2/2/11,Excused,,,9/16/11
34,5,30,2/2/11,Excused,,,9/16/11
35,5,33,2/2/11,Excused,,,9/16/11
36,5,43,2/2/11,Excused,,,9/16/11
37,5,30,2/3/11,Excused,,,9/16/11
38,5,43,2/3/11,Excused,,,9/16/11
39,5,33,2/4/11,Unexcused,,,9/16/11
41,5,37,2/4/11,Excused,,,9/16/11
42,5,43,2/4/11,Unexcused,,,9/16/11
43,5,44,2/7/11,Excused,,,9/16/11
44,5,46,2/7/11,Excused,,,9/16/11
45,5,44,2/14/11,Excused,,,9/16/11
46,5,44,2/17/11,Excused,,,9/16/11
47,5,47,2/22/11,Excused,,,9/16/11
48,5,27,2/23/11,Excused,,,9/16/11
49,5,33,1/3/11,Excused,,,9/16/11
50,5,26,1/12/11,Excused,,,9/16/11
51,5,33,1/12/11,Excused,,,9/16/11
52,5,26,1/13/11,Excused,,,9/16/11
53,5,36,1/13/11,Unexcused,,,9/16/11
54,5,42,1/13/11,Excused,,,9/16/11
55,5,47,1/13/11,Excused,,,9/16/11
56,5,33,1/18/11,Excused,,,9/16/11
57,5,36,1/18/11,Excused,,,9/16/11
58,5,40,1/18/11,Excused,,,9/16/11
59,5,31,1/21/11,Excused,,,9/16/11
60,5,30,1/31/11,Excused,,,9/16/11
61,2,61,6/2/11,Excused,,,9/17/11
62,2,67,6/2/11,Excused,,,9/17/11
63,2,55,6/3/11,Excused,,,9/17/11
64,2,57,6/3/11,Excused,,,9/17/11
65,2,61,6/3/11,Excused,,,9/17/11
66,2,67,6/3/11,Unexcused,,,9/17/11
67,2,61,6/6/11,Excused,,,9/17/11
68,2,67,6/6/11,Unexcused,,,9/17/11
69,2,80,6/6/11,Excused,,,9/17/11
70,2,80,6/7/11,Excused,,,9/17/11
71,2,61,6/7/11,Excused,,,9/17/11
72,2,67,6/7/11,Unexcused,,,9/17/11
73,2,67,6/8/11,Unexcused,,,9/17/11
74,2,80,6/8/11,Excused,,,9/17/11
75,2,53,6/9/11,Unexcused,,,9/17/11
76,2,71,6/9/11,Excused,,,9/17/11
77,2,77,6/9/11,Excused,,,9/17/11
78,2,80,6/9/11,Excused,,,9/17/11
79,2,53,6/10/11,Unexcused,,,9/17/11
80,2,67,6/10/11,Excused,,,9/17/11
81,2,70,6/10/11,Excused,,,9/17/11
82,2,80,6/10/11,Excused,,,9/17/11
83,2,53,6/13/11,Unexcused,,,9/17/11
84,2,66,6/14/11,Excused,,,9/17/11
85,2,53,6/15/11,Unexcused,,,9/17/11
86,2,66,6/15/11,Excused,,,9/17/11
87,2,51,6/17/11,Unexcused,,,9/17/11
88,2,52,6/17/11,Excused,,,9/17/11
89,2,51,6/20/11,Excused,,,9/17/11
90,2,55,6/20/11,Excused,,,9/17/11
91,2,51,6/21/11,Excused,,,9/17/11
92,2,51,6/22/11,Excused,,,9/17/11
93,2,53,6/22/11,Unexcused,,,9/17/11
94,2,67,6/22/11,Unexcused,,,9/17/11
95,3,55,6/2/11,Unexcused,,,9/17/11
96,3,61,6/2/11,Excused,,,9/17/11
97,3,67,6/2/11,Unexcused,,,9/17/11
98,3,55,6/3/11,Excused,,,9/17/11
99,3,61,6/3/11,Excused,,,9/17/11
100,3,67,6/3/11,Unexcused,,,9/17/11
101,3,55,6/6/11,Excused,,,9/17/11
102,3,61,6/6/11,Excused,,,9/17/11
103,3,67,6/6/11,Unexcused,,,9/17/11
104,3,80,6/6/11,Excused,,,9/17/11
105,3,55,6/7/11,Excused,,,9/17/11
106,3,61,6/7/11,Excused,,,9/17/11
107,3,67,6/7/11,Unexcused,,,9/17/11
108,3,80,6/7/11,Excused,,,9/17/11
109,3,53,6/9/11,Unexcused,,,9/17/11
110,3,79,6/9/11,Excused,,,9/17/11
111,3,80,6/9/11,Excused,,,9/17/11
112,3,53,6/13/11,Unexcused,,,9/17/11
113,3,71,6/13/11,Unexcused,,,9/17/11
114,3,53,6/14/11,Unexcused,,,9/17/11
115,3,66,6/14/11,Excused,,,9/17/11
116,3,53,6/15/11,Unexcused,,,9/17/11
118,3,72,6/15/11,Excused,,,9/17/11
119,3,51,6/16/11,Excused,,,9/17/11
120,3,52,6/16/11,Excused,,,9/17/11
121,3,53,6/16/11,Unexcused,,,9/17/11
122,3,67,6/16/11,Unexcused,,,9/17/11
123,3,51,6/17/11,Excused,,,9/17/11
124,3,52,6/17/11,Excused,,,9/17/11
125,3,67,6/17/11,Unexcused,,,9/17/11
126,3,51,6/20/11,Excused,,,9/17/11
127,3,52,6/20/11,Excused,,,9/17/11
128,3,53,6/20/11,Unexcused,,,9/17/11
129,3,54,6/20/11,Excused,,,9/17/11
130,3,67,6/27/11,Excused,,,9/17/11
131,3,74,6/27/11,Excused,,,9/17/11
132,3,65,6/28/11,Excused,,,9/17/11
