courseId,schoolYearId,teacherId1,teacherId2,teacherId3,Grade,Section,CourseName
2,1,1,,,1,,ថ្នាក់ ទី 1A ព្រឹក
3,1,1,,,1,,ថ្នាក់ ទី 1A ល្ងាច
5,1,2,,,2,,ថ្នាក់ ទី 2A ព្រឹក
6,1,3,,,2,,ថ្នាក់ ទី 2A ល្ងាច
8,2,1,,,1,,ថ្នាក់​ ទី 1A ព្រឹក
9,2,1,,,1,,ថ្នាក់ ទី 1A ល្ងាច
10,2,2,,,2,,ថ្នាក់ ទី 2A ព្រឹក
11,2,3,,,2,,ថ្នាក់ ទី 2A ល្ងាច
13,2,4,,,3,,ថ្នាក់ ទី 3A ព្រឹក
14,2,4,,,3,,ថ្នាក់ ទី 3A ល្ងាច
15,3,1,,,1,A,ថ្នាក់ ទី 1A ព្រឹក
16,3,1,,,1,A,ថ្នាក់ ទី 1A ល្ងាច
17,3,9,,,1,B,ថ្នាក់ ទី 1B ព្រឹក
18,3,9,,,1,B,ថ្នាក់ ទី 1B ល្ងាច
19,3,2,,,2,A,ថ្នាក់ ទី 2A ព្រឹក
20,3,3,,,2,A,ថ្នាក់ ទី 2A ល្ងាច
21,3,4,,,2,B,ថ្នាក់ ទី 2B ព្រឹក
22,3,4,,,2,B,ថ្នាក់ ទី 2B ល្ងាច
23,3,7,,,3,A,ថ្នាក់ ទី 3A ព្រឹក
24,3,7,,,3,A,ថ្នាក់ ទី 3A ល្ងាច
25,3,8,,,4,A,ថ្នាក់ ទី 4A ព្រឹក
26,3,8,,,4,A,ថ្នាក់ ទី 4A ល្ងាច
28,4,9,,,1,A,ថ្នាក់ ទី​ 1A ព្រឹក
29,4,9,,,1,A,ថ្នាក់ ទី​ 1A ល្ងាច
32,4,11,,,2,A,ថ្នាក់ ទី​ 2A ព្រឹក
33,4,11,,,2,A,ថ្នាក់ ទី​ 2A ល្ងាច
34,4,12,,,2,B,ថ្នាក់ ទី​ 2B ព្រឹក
35,4,12,,,2,B,ថ្នាក់ ទី​ 2B ល្ងាច
37,4,7,,,3,A,ថ្នាក់ ទី​ 3A ព្រឹក
38,4,7,,,3,A,ថ្នាក់ ទី​ 3A ល្ងាច
39,4,8,,,4,A,ថ្នាក់ ទី​ 4A ព្រឹក
40,4,8,,,4,A,ថ្នាក់ ទី​ 4A ល្ងាច
41,4,10,,,5,A,ថ្នាក់ ទី​ 5A ព្រឹក
42,4,10,,,5,A,ថ្នាក់ ទី​ 5A ល្ងាច
43,5,13,,,1,A,ថ្នាក់ ទី​ 1A ព្រឹក
44,5,13,,,1,A,ថ្នាក់ ទី​ 1A ល្ងាច
45,5,11,,,2,A,ថ្នាក់ ទី​ 2A ព្រឹក
46,5,11,,,2,A,ថ្នាក់ ទី​ 2A ល្ងាច
47,5,12,,,3,A,ថ្នាក់ ទី​ 3A ព្រឹក
48,5,12,,,3,A,ថ្នាក់ ទី​ 3A ល្ងាច
49,5,7,,,4,A,ថ្នាក់ ទី​ 4A ព្រឹក
50,5,7,,,4,A,ថ្នាក់ ទី​ 4A ល្ងាច
51,5,10,,,5,A,ថ្នាក់ ទី​ 5A ព្រឹក
52,5,10,,,5,A,ថ្នាក់ ទី​ 5A ល្ងាច
53,5,8,,,6,A,ថ្នាក់ ទី​ 6A ព្រឹក
54,5,8,,,6,A,ថ្នាក់ ទី​ 6A ល្ងាច
55,5,9,,,3,B,ថ្នាក់ ទី​ 3B ព្រឹក
56,5,9,,,3,B,ថ្នាក់ ទី​ 3B ល្ងាច
57,6,13,,,1,A,ថ្នាក់ ទី​ 1A ព្រឹក
58,6,13,,,1,A,ថ្នាក់ ទី​ 1A ល្ងាច
